Brand,processor_brand,processor_series,processor_tier,ram,storage,screen_size,display_type,gpu_brand,gpu_model,vram,prices
Samsung,Intel,Core Ultra,7,16,1TB,14,WQXGA+,Integrated,Integrated,0,184990
Samsung,Intel,Core Ultra,7,32,1TB,16,WQXGA+,Integrated,Integrated,0,242990
Samsung,Intel,Core Ultra,7,32,1TB,16,WQXGA+,Integrated,Integrated,0,417190
Samsung,Intel,Core Ultra,7,16,1TB,16,WUXGA,Integrated,Integrated,0,198790
Lenovo,AMD,Ryzen AI,7,32,1TB,14,OLED,Integrated,Integrated,0,116999
Lenovo,AMD,Ryzen,3,8,512GB,15.6,FHD,Integrated,Integrated,0,43999
Acer,Intel,Core i,i5,16,512GB,15.6,FHD,Integrated,Integrated,0,90599
Lenovo,AMD,Ryzen,5,12,512GB,15.6,FHD,Integrated,Integrated,0,70999
HP,Intel,Core i,i5,16,512GB,15.6,FHD,Integrated,Integrated,0,60499
HP,Intel,Core,3,8,512GB,15.6,FHD,Integrated,Integrated,0,47999
ASUS,AMD,Ryzen,7,16,512GB,16,FHD+,Integrated,Integrated,0,106990
ASUS,Intel,Core i,i3,16,512GB,15.6,FHD,Integrated,Integrated,0,53990
ASUS,Intel,Core i,i3,8,512GB,15.6,FHD,Integrated,Integrated,0,47990
Dell,Intel,Core,5,16,512GB,14,Full HD,Integrated,Integrated,0,64999
HP,Intel,Core Ultra,5,16,512GB,15.6,FHD,Integrated,Integrated,0,71999
ASUS,AMD,Ryzen,5,16,512GB,14,Full HD,Integrated,Integrated,0,48990
Lenovo,Intel,Core,9,32,1TB,14,WUXGA,Integrated,Integrated,0,105990
Lenovo,Intel,Core i,i7,32,1TB,15.6,Full HD,NVIDIA,RTX 5060,8,147999
ASUS,Intel,Core i,i3,8,512GB,15.6,Full HD,Integrated,Integrated,0,47990
ASUS,AMD,Ryzen,3,8,512GB,14,FHD,Integrated,Integrated,0,43990
Dell,Intel,Core i,i7,16,512GB,15.6,FHD,Integrated,Integrated,0,73499
Lenovo,AMD,Ryzen AI,7,24,1TB,14,OLED,Integrated,Integrated,0,99990
Dell,Intel,Core i,i3,8,512GB,14,FHD+,Integrated,Integrated,0,42999
Asus,AMD,Ryzen,5,8,512GB,14,FHD,Integrated,Integrated,0,43990
Lenovo,AMD,Ryzen,5,16,512GB,15.6,FHD,Integrated,Integrated,0,42990
HP,Intel,Core i,i5,16,512GB,15.6,Full HD,Integrated,Integrated,0,59490
Lenovo,Intel,Core i,i7,16,1TB,15.6,FHD,Integrated,Integrated,0,130999
Lenovo,Intel,Core i,i7,32,1TB,15.6,FHD,Integrated,Integrated,0,147999
Lenovo,Intel,Core i,i5,16,1TB,14,OLED,Integrated,Integrated,0,65999
Acer,Intel,Core i,i7,16,512GB,15.6,Full HD,Integrated,Integrated,0,54990
Acer,Intel,Core Ultra,5,16,512GB,14,WUXGA,Integrated,Integrated,0,57990
Samsung,Intel,Core Ultra,7,16,1TB,15.6,Full HD,Integrated,Integrated,0,103990
Samsung,Intel,Core Ultra,7,32,1TB,15.6,Full HD,Integrated,Integrated,0,119990
Samsung,Intel,Core Ultra,5,16,512GB,15.6,FHD,Integrated,Integrated,0,81990
ASUS,Intel,Core,5,16,512GB,14,WUXGA,Integrated,Integrated,0,65990
ASUS,AMD,Ryzen,7,16,1TB,16,FHD+,Integrated,Integrated,0,111990
Dell,Intel,Core,7,16,1TB,16,WQXGA,Integrated,Integrated,0,149990
Acer,Intel,Core Ultra,7,16,1TB,14,OLED,Integrated,Integrated,0,88990
Acer,Intel,Core Ultra,7,16,1TB,16,OLED,Integrated,Integrated,0,149990
Acer,Intel,Core i,i7,16,512GB,15.6,FHD,Integrated,Integrated,0,72999
Lenovo,AMD,Ryzen,5,8,512GB,15.6,FHD,Integrated,Integrated,0,41499
HP,Intel,Core i,i7,16,512GB,15.6,FHD,Integrated,Integrated,0,89990
Lenovo,Intel,Core i,i3,8,512GB,14,Full HD,Integrated,Integrated,0,48499
HP,AMD,Ryzen,7,16,512GB,15.6,Full HD,Integrated,Integrated,0,53990
ASUS,AMD,Ryzen,7,16,512GB,15.6,FHD,Integrated,Integrated,0,49990
Dell,Intel,Core i,i7,16,1TB,15.6,FHD,Integrated,Integrated,0,95999
Lenovo,AMD,Ryzen,7,24,512GB,15.6,FHD,Integrated,Integrated,0,71990
Acer,Intel,Core Ultra,5,16,512GB,14,WUXGA,Integrated,Integrated,0,61999
HP,Intel,Core Ultra,5,16,512GB,15.6,FHD,Integrated,Integrated,0,70499
Acer,AMD,Ryzen,5,16,512GB,15.6,Full HD,Integrated,Integrated,0,60999
HP,Intel,Core i,i3,8,512GB,15.6,Full HD,Integrated,Integrated,0,41990
HP,Intel,Core i,i5,16,512GB,15.6,Full HD,Integrated,Integrated,0,59999
HP,AMD,Ryzen,5,16,512GB,16,WUXGA,Integrated,Integrated,0,59999
Lenovo,Intel,Core Ultra,5,32,1TB,14,OLED,Integrated,Integrated,0,119999
Lenovo,Intel,Core i,i3,8,512GB,15.6,FHD,Integrated,Integrated,0,41999
Lenovo,AMD,Ryzen,7,24,1TB,14,OLED,Integrated,Integrated,0,93999
ASUS,Intel,Core i,i5,16,1TB,16,FHD+,NVIDIA,RTX 5050,8,119990
MSI,Intel,Core i,i5,16,512GB,15.6,Full HD,NVIDIA,RTX 3050,4,76990
MSI,Intel,Core i,i7,16,512GB,15.6,Full HD,NVIDIA,RTX 3050,4,89990
MSI,Intel,Core,7,16,1TB,15.6,Full HD,NVIDIA,RTX 5050,8,115990
MSI,Intel,Core,7,16,1TB,15.6,Full HD,NVIDIA,RTX 5060,8,125990
Lenovo,AMD,Ryzen,5,16,512GB,15.6,FHD,Integrated,Integrated,0,40990
Acer,AMD,Ryzen,3,8,512GB,15.6,Full HD,Integrated,Integrated,0,49999
ASUS,Intel,Core i,i7,16,1TB,16,FHD+,Integrated,Integrated,0,113990
