name,processor,ram,storage,display,graphics,prices
ASUSROGZephyrusG16GamingLaptop,IntelCoreUltra9285H,32GBLPDDR5XRAM,2TBSSD,16Inch(40.64cm)2.5KWQXGADisplay,16GB-NVIDIAGeForceRTX5080Graphics,"3,59,990"
RefurbishedDellLatitude74102In1,Corei710thGen,16GB,512GBSSD,Webcam,14''Touch,"44,499"
RefurbishedLenovoThinkpadL14Gen1,Corei510thGen,8GB,512GBSSD,Webcam,"14""NonTouch","32,499"
RefurbishedDellLatitude5411,Corei510thGen,16GB,512GBSSD,Webcam,"14""","34,999"
RefurbishedHPProbook645G4,AMDRyzen5Pro,8GB,256GBSSD,Webcam,14''NonTouch,"23,999"
RefurbishedHPElitebook840G5,Corei58thGen,8GB,512GBSSD,Webcam,14'',"29,999"
HPOmniBook7AeroNextGenAILaptop,AMDRyzenAI7,16GBLPDDR5xRAM,512GBSSD,13.3Inch(33.78cm)diagonalWQXGADisplay,AMDRadeon860MGraphics,"85,990"
HPOmniBookXFlipConvertibleLaptop,IntelCoreUltra5,16GBLPDDR5xRAM,512GBSSD,14Inch(35.56cm)diagonal3KOLEDTouchscreenDisplay,IntelArcGraphics,"1,20,000"
HPPavilionPlusLaptop,13thGenCorei5,16GBRAM,512GBSSD,14inch(35.56cm),Intel®Iris®XeGraphics,"74,999"
AcerSwiftGo14Laptop,IntelCoreUltra5125H,16GBLPDDR5XRAM,512GBSSD,14Inch(35.56cm)TouchscreenDisplay,IntelARCGraphics,"75,990"
SamsungGalaxyBook5ProLaptop,IntelCoreUltra7,16GBLPDDR5XRAM,512GBSSD,14Inch(35.56cm)WQXGA+DynamicAMOLED2XDisplay,IntelARCGraphics,"1,39,990"
SamsungGalaxyBook5ProLaptop,IntelCoreUltra5,16GBLPDDR5XRAM,512GBSSD,14Inch(35.56cm)WQXGA+DynamicAMOLED2XDisplay,IntelARCGraphics,"1,31,990"
