Brand,processor_brand,processor_series,processor_tier,ram,storage,screen_size,display_type,display,graphics,prices
ASUS,Intel,Core Ultra,9,16,1TB,16,, 16 Inch (40.64 cm) 2.5k ROG Nebula Display, NVIDIA RTX 5060 8GB Graphics,"2,27,990"
ASUS,Intel,Core Ultra,9,32,1TB,16,, 16 Inch (40.64 cm) 2.5k ROG Nebula Display, NVIDIA RTX 5070 8GB Graphics,"2,75,990"
Acer,AMD,Ryzen,5,16,512GB,15.6,Full HD, 15.6 Inch (39.62 cm) Full HD Display, AMD Radeon Graphics,"56,999"
Acer,Intel,Core i,i7,16,512GB,15.6,Full HD, 15.6 Inch (39.62 cm) Full HD Display, 6GB NVIDIA GeForce RTX 3050 Graphics,"75,990"
Acer,AMD,Ryzen,7,16,512GB,15.6,Full HD, 15.6 Inch (39.62 cm) Full HD Display, AMD Radeon Graphics,"64,999"
Samsung,Intel,Core,5,16,512GB,15.6,, 15.6 Inch (39.62 cm) Display, Intel Iris Xe Graphics,"84,990"
Lenovo,AMD,Ryzen,7,16,512GB,13.3,WUXGA, 13.3 Inch (33.78 cm) WUXGA IPS Display, AMD Radeon Graphics,"77,999"
Lenovo,Intel,Core i,i5,16,512GB,15.3,WUXGA, 15.3 Inch (38.86 cm) WUXGA IPS Display, Intel UHD Graphics,"68,999"
ASUS,AMD,Ryzen,5,8,512GB,14,FHD, 14 Inch (35.56 cm) FHD Display, AMD Radeon Graphics,"46,990"
ASUS,Intel,Core i,i5,16,512GB,16,WUXGA, 16 Inch (40.64 cm) WUXGA Display, Intel UHD Graphics,"68,990"
ASUS,Intel,Core Ultra,9,32,2TB,16,WQXGA, 16 Inch (40.64 cm) 2.5K WQXGA Display, 16GB-NVIDIA GeForce RTX 5080 Graphics,"3,99,990"
ASUS,Intel,Core Ultra,9,32,1TB,16,WQXGA, 16 Inch (40.64 cm) 2.5K WQXGA Display, 12GB-NVIDIA GeForce RTX 5070 Ti Graphics,"2,79,990"
ASUS,Intel,Core Ultra,9,32,2TB,16,WQXGA, 16 Inch (40.64 cm) 2.5K WQXGA Display, 16GB-NVIDIA GeForce RTX 5080 Graphics,"3,59,990"
HP,AMD,Ryzen AI,7,16,512GB,13.3,WQXGA, 13.3 Inch (33.78 cm) diagonal WQXGA Display, AMD Radeon 860M Graphics,"85,990"
HP,Intel,Core Ultra,5,16,512GB,14,OLED, 14 Inch (35.56 cm) diagonal 3K OLED Touchscreen Display, Intel Arc Graphics,"1,20,000"
HP,Intel,Core i,i5,16,512GB,14,, 14 inch (35.56 cm), Intel® Iris® Xe Graphics,"74,999"
Samsung,Intel,Core Ultra,7,16,512GB,14,WQXGA, 14 Inch (35.56 cm) WQXGA+ Dynamic AMOLED 2X Display, Intel ARC Graphics,"1,39,990"
Samsung,Intel,Core Ultra,5,16,512GB,14,WQXGA, 14 Inch (35.56 cm) WQXGA+ Dynamic AMOLED 2X Display, Intel ARC Graphics,"1,31,990"
Samsung,Intel,Core Ultra,5,16,512GB,15.6,FHD, 15.6 Inch (39.62cm) FHD AMOLED Display, Intel ARC Graphics,"1,14,990"
Samsung,Intel,Core Ultra,7,16,512GB,15.6,FHD, 15.6 Inch (39.62cm) FHD AMOLED Display, Intel ARC Graphics,"1,22,990"
Samsung,Intel,Core i,i5,16,512GB,13.3,FHD, 13.3 Inch (33.78cm) FHD AMOLED Display, Intel Iris Xe Graphics,"1,04,990"
Lenovo,Intel,Core i,i5,16,512GB,15.6,, 15.6 Inch (39.62 cm), 6GB RTX™ 3050 Graphics,"88,999"
Acer,Intel,Core Ultra,5,16,512GB,14,OLED, 14 Inch (35.56 cm) OLED Display, Intel ARC Graphics,"85,990"
ASUS,Intel,Core Ultra,5,16,1TB,14,OLED, 14 Inch (35.56 cm) OLED Display, Intel Arc Graphics,"1,25,990"
ASUS,Intel,Core Ultra,5,16,512GB,16,WUXGA, 16 Inch (40.64 cm) WUXGA Display, Intel Graphics,"77,990"
Dell,Intel,Core Ultra,7,16,1TB,14,, 14 Inch (35.56 cm) Display, Intel Arc Graphics,"97,990"
Dell,Intel,Core Ultra,7,16,1TB,14,, 14 inch (35.56 cm), Intel? Arc? Graphics,"97,990"
HP,Intel,Core,7,24,1TB,16,, 16 Inch (40.6 cm) diagonal 2K Display, 8GB-NVIDIA GeForce RTX 5050 Graphics,"1,37,999"
Apple,Apple,A18 Pro,,8,512GB,13,Liquid Retina, 13 Inch Liquid Retina Display, 6‑core CPU and 5‑core GPU,"73,490"
Apple,Apple,A18 Pro,,8,256GB,13,Liquid Retina, 13 Inch Liquid Retina Display, 6‑core CPU and 5‑core GPU,"66,490"
Apple,Apple,A18 Pro,,8,512GB,13,Liquid Retina, 13 Inch Liquid Retina Display, 6‑core CPU and 5‑core GPU,"73,490"
Apple,Apple,A18 Pro,,8,256GB,13,Liquid Retina, 13 Inch Liquid Retina Display, 6‑core CPU and 5‑core GPU,"66,490"
Apple,Apple,A18 Pro,,8,512GB,13,Liquid Retina, 13 Inch Liquid Retina Display, 6‑core CPU and 5‑core GPU,"73,490"
Apple,Apple,A18 Pro,,8,512GB,13,Liquid Retina, 13 Inch Liquid Retina Display, 6‑core CPU and 5‑core GPU,"73,490"
Apple,Apple,A18 Pro,,8,256GB,13,Liquid Retina, 13 Inch Liquid Retina Display, 6‑core CPU and 5‑core GPU,"66,490"
Apple,Apple,M5,,16,512GB,15,Liquid Retina, 15 Inch Liquid Retina Display, 10‑core CPU and 10‑core GPU,"1,37,990"
Apple,Apple,M5,,16,512GB,15,Liquid Retina, 15 Inch Liquid Retina Display, 10‑core CPU and 10‑core GPU,"1,37,990"
Apple,Apple,M5,,16,512GB,15,Liquid Retina, 15 Inch Liquid Retina Display, 10‑core CPU and 10‑core GPU,"1,37,990"
Apple,Apple,M5,,16,512GB,15,Liquid Retina, 15 Inch Liquid Retina Display, 10‑core CPU and 10‑core GPU,"1,37,990"
Apple,Apple,M5,,16,1TB,13,Liquid Retina, 13 Inch Liquid Retina Display, 10‑core CPU and 10‑core GPU,"1,28,690"
Apple,Apple,M5,,16,512GB,13,Liquid Retina, 13 Inch Liquid Retina Display, 10‑core CPU and 8‑core GPU,"1,09,990"
Apple,Apple,M5,,16,512GB,13,Liquid Retina, 13 Inch Liquid Retina Display, 10‑core CPU and 8‑core GPU,"1,09,990"
Apple,Apple,M5,,16,512GB,13,Liquid Retina, 13 Inch Liquid Retina Display, 10‑core CPU and 8‑core GPU,"1,09,990"
HP,Intel,Core i,i3,8,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, Intel UHD Graphics,"48,999"
Apple,Apple,M5,,16,512GB,13,Liquid Retina, 13 Inch Liquid Retina Display, 10‑core CPU and 8‑core GPU,"1,09,990"
ASUS,AMD,Ryzen AI,5,16,512GB,16,FHD+, 16 Inch (40.64cm) FHD+ Display, AMD XDNA NPU up to 50TOPS,"81,990"
